Вакансия,URL,Компания,Описание
Web-developer,https://hh.ru/vacancy/32158653?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Прототех,"Оптимизация производительности кода, решение проблем с производительностью. Разработка нового функционала продуктов компании и поддержка существующего. Решение сложных архитектурных/функциональных задач.  Владение PHP. PHP (ООП), работа как с 7.x так и c 5.x версиями. Хорошее знание JavaScript. "
Java-разработчик,https://hh.ru/vacancy/32501531?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО СЕНЛА,"Программирование, участие в разработке IT-проектов предприятия. Поддержка и обслуживание проектов. J2SE ( + Java8, Java9). Глубокое знания J2EE(JPA, JMS). Знание Spring Core, mvc, web. "
Программист 1С,https://hh.ru/vacancy/19456633?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ОДО ЮКОЛА-ИНФО-Брест,Участие в проектах автоматизации учета и управления крупных промышленных предприятий РБ и РФ на платформе 1С:Предприятие 8. В/о (желательно в сфере IT). Опыт программирования в 1С 8 (желателен). Обучаемость: по результатам собеседования возможна организация обучения...
.NET Developer,https://hh.ru/vacancy/31090784?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, ISsoft Solutions,Разработка новых решений. Проведение юнит-тестирования. Ревью кода. 3+ года опыта работы в качестве .NET-разработчика. Опыт работы с перечисленными выше технологиями. Уровень английского языка от Intermediate...
Lead .NET Developer,https://hh.ru/vacancy/31090809?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, ISsoft Solutions,Наш заказчик – это крупная международная компания с годовым оборотом в 2.6 миллиардов долларов. Компания разрабатывает решения в следующих сферах... Технологии: 4+ лет опыта работы в качестве .NET-разработчика. 1+ год опыта управления командой. Опыт работы с перечисленными...
Web-разработчик (с переобучением),https://hh.ru/vacancy/32112837?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, VRP Consulting,"Напрямую коммуницирует с Клиентами на английском языке. Участвует в презентации проделанной работы. Работает с front-end библиотекам и фреймворками (JavaScript, jQuery, Angular, Backbone.js, Ember.js, React.js). Опыт работы c любым объекто-ориентированным языком..."
Middle .NET Developer (Brest),https://hh.ru/vacancy/28970259?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, iTechArt Group,"New feature development. Refactoring and redesign of existing features. Communication with customers (Agile methodology). Tasks estimation. 1+ years’ experience in .NET development. Good knowledge of .NET Framework, ASP.NET MVC/Core, SQL databases, Entity Framework. "
Junior Front-end Developer (Brest),https://hh.ru/vacancy/32400232?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, iTechArt Group,New feature development. Analysis and preparation of technical solutions. Refactoring and redesign of existing features. Communication with customers (Agile methodology).  Basic understanding of both relational databases and NoSQL databases. Commercial experience in a Front End development. Customer communication experience.
Программист/Разработчик 1С-Битрикс,https://hh.ru/vacancy/32403099?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,УП Энтерпрайзсофт,"Участие в разработке новых модулей и компонентов для решений платформе 1С-Битрикс и 1С-Битрикс24.  Умение быстро разобраться: В архитектуре и возможностях 1С-Битрикс и 1С-Битрикс24. В особенностях PHP, HTML, CSS..."
Middle / Senior Java Developer,https://hh.ru/vacancy/30614057?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Godel Technologies Europe,"Democracy — take part in shaping the future of the company. Must have: Hands-on experience with Java 8+ and Spring (IoC, MVC, Boot). Strong knowledge of web technologies and..."
